Cat ID,Categoria,Producto,Costo Un.,Gr,Costo Pr.xUn.,Margen (%),Precio Lista,Equivalente x Kg,venta,Unidades por Kg,% diferencia,$ diferencia
2,Condimentos y Especias,sal himalaya fina,"$1.705,0",250,"$426,3",90,"$809,9","$3.239,5",$990,4,"22,2",$180
2,Condimentos y Especias,sal marina,"$1.787,0",,"$1.787,0",50,"$2.680,5","$0,0",$3.000,,"11,9",$320
9,Infusiones y Hierbas,salvia deshidratada,"$10.477,0",20,"$209,5",50,"$314,3","$15.715,5",$500,50,"59,1",$186
11,Productos funcionales / varios,semilla chia,"$7.000,0",50,"$350,0",50,"$525,0","$10.500,0",$700,20,"33,3",$175
6,Snacks saludables,semilla de girasol,"$3.500,0",100,"$350,0",60,"$560,0","$5.600,0",$690,10,"23,2",$130
6,Snacks saludables,semilla de zapallo,"$15.190,0",50,"$759,5",70,"$1.291,2","$25.823,0",$1.500,20,"16,2",$209
11,Productos funcionales / varios,semilla lino,"$2.184,0",50,"$109,2",90,"$207,5","$4.149,6",$700,20,"237,4",$493
11,Productos funcionales / varios,semilla sesamo blanco,"$5.975,0",50,"$298,8",90,"$567,6","$11.352,5",$700,20,"23,3",$132
5,Harinas y Azúcares,semolin,"$1.350,0",250,"$337,5",50,"$506,3","$2.025,0",$600,4,"18,5",$94
6,Snacks saludables,snak crackers de arroz crisppino,"$675,0",,"$675,0",50,"$1.012,5","$0,0",$1.200,,"18,5",$188
6,Snacks saludables,snak green crops,"$969,0",,"$969,0",50,"$1.453,5","$1.453,5",$1.500,,"3,2",$47
11,Productos funcionales / varios,sopa x 50gr fram,"$2.248,0",,"$2.248,0",50,"$3.372,0","$0,0",$3.700,,"9,7",$328
2,Condimentos y Especias,spirulina,"$24.154,0",50,"$1.207,7",50,"$1.811,6","$36.231,0",$2.000,20,"10,4",$188
5,Harinas y Azúcares,stevia sobres jual,"$3.202,0",,"$3.202,0",50,"$4.803,0","$4.803,0",$5.300,,"10,3",$497
5,Harinas y Azúcares,stevia x125cc jual,"$2.746,0",,"$2.746,0",50,"$4.119,0","$4.119,0",$4.500,,"9,2",$381
5,Harinas y Azúcares,stevia x250cc jual,"$4.153,0",,"$4.153,0",50,"$6.229,5","$6.229,5",$6.900,,"10,8",$671
9,Infusiones y Hierbas,te adisol heredia,"$3.318,0",,"$3.318,0",50,"$4.977,0","$4.977,0",,,"-100,0",-$4.977
9,Infusiones y Hierbas,te bienestar surtido heredia,"$3.250,0",,"$3.250,0",50,"$4.875,0","$4.875,0",$4.990,,"2,4",$115
9,Infusiones y Hierbas,te chai heredia,"$3.326,0",,"$3.326,0",50,"$4.989,0","$0,0",,,"-100,0",-$4.989
9,Infusiones y Hierbas,te clasico surtido heredia,"$3.577,0",,"$3.577,0",50,"$5.365,5","$0,0",,,"-100,0",-$5.366
9,Infusiones y Hierbas,te earl grey heredia,"$4.023,0",,"$4.023,0",50,"$6.034,5","$0,0",,,"-100,0",-$6.035
9,Infusiones y Hierbas,te fem heredia,"$3.199,0",,"$3.199,0",50,"$4.798,5","$4.798,5",$4.990,,"4,0",$192
9,Infusiones y Hierbas,te harmony,"$3.615,0",,"$3.615,0",50,"$5.422,5","$5.422,5",,,"-100,0",-$5.423
9,Infusiones y Hierbas,te herby heredia,"$3.836,0",,"$3.836,0",50,"$5.754,0","$0,0",,,"-100,0",-$5.754
9,Infusiones y Hierbas,te hib. ene. ver. heredia,"$3.529,0",,"$3.529,0",50,"$5.293,5","$5.293,5",$5.500,,"3,9",$207
9,Infusiones y Hierbas,te manzanilla heredia,"$2.978,0",,"$2.978,0",50,"$4.467,0","$4.467,0",,,"-100,0",-$4.467
9,Infusiones y Hierbas,te meditacion heredia,"$3.536,0",,"$3.536,0",50,"$5.304,0","$5.304,0",$5.500,,"3,7",$196
9,Infusiones y Hierbas,te melena de leon heredia,"$8.932,0",,"$8.932,0",50,"$13.398,0","$0,0",$14.800,,"10,5",$1.402
9,Infusiones y Hierbas,te monohierbas heredia,"$3.250,0",,"$3.250,0",50,"$4.875,0","$4.875,0",,,"-100,0",-$4.875
9,Infusiones y Hierbas,te negro heredia,"$2.507,0",,"$2.507,0",50,"$3.760,5","$0,0",,,"-100,0",-$3.761
9,Infusiones y Hierbas,te rojo heredia,"$3.154,0",,"$3.154,0",50,"$4.731,0","$0,0",,,"-100,0",-$4.731
9,Infusiones y Hierbas,te rosa mosqueta heredia,"$5.072,0",,"$5.072,0",50,"$7.608,0","$0,0",,,"-100,0",-$7.608
9,Infusiones y Hierbas,te sedan heredia,"$3.731,0",,"$3.731,0",50,"$5.596,5","$5.596,5",$5.600,,"0,1",$4
9,Infusiones y Hierbas,te surtido magico heredia,"$4.063,0",,"$4.063,0",50,"$6.094,5","$6.094,5",,,"-100,0",-$6.095
9,Infusiones y Hierbas,te verde heredia,"$2.940,0",,"$2.940,0",50,"$4.410,0","$4.410,0",$4.500,,"2,0",$90
11,Productos funcionales / varios,texturizado soja,"$1.835,0",,"$1.835,0",50,"$2.752,5","$2.752,5",,,"-100,0",-$2.753
2,Condimentos y Especias,tomillo,"$11.463,0",50,"$573,2",70,"$974,4","$19.487,1",$900,20,"-7,6",-$74
6,Snacks saludables,trencitas cereal,"$1.961,0",,"$1.961,0",50,"$2.941,5","$0,0",,,"-100,0",-$2.942
9,Infusiones y Hierbas,yerba kalena roja,"$3.513,0",,"$3.513,0",50,"$5.269,5","$0,0",$5.700,,"8,2",$431
9,Infusiones y Hierbas,yerba kalena suave,"$4.312,0",,"$4.312,0",50,"$6.468,0","$0,0",$7.100,,"9,8",$632
